"Freq [GHz]","L1 []"
0.434,27.0399101455336
0.439425,27.4268224475838
0.44485,27.8157436470466
0.450275,28.2067111115073
0.4557,28.5997627726965
0.461125,28.994937140591
0.46655,29.3922733178771
0.471975,29.7918110147888
0.4774,30.1935905643311
0.482825,30.5976529379047
0.48825,31.0040397613421
0.493675,31.4127933313706
0.4991,31.8239566325163
0.504525,32.237573354463
0.50995,32.6536879098827
0.515375,33.0723454527524
0.5208,33.4935918971742
0.526225,33.9174739367159
0.53165,34.3440390642901
0.537075,34.7733355925893
0.5425,35.2054126750971
0.547925,35.6403203276956
0.55335,36.0781094508881
0.558775,36.5188318526611
0.5642,36.962540272005
0.569625,37.4092884031194
0.57505,37.8591309203255
0.580475,38.3121235037108
0.5859,38.7683228655332
0.591325,39.2277867774103
0.59675,39.6905740983234
0.602175,40.1567448034646
0.6076,40.6263600139582
0.613025,41.0994820274879
0.61845,41.5761743498633
0.623875,42.05650172756
0.6293,42.5405301812696
0.634725,43.0283270404964
0.64015,43.5199609792409
0.645575,44.0155020528103
0.651,44.5150217357983
0.656425,45.018592961279
0.66185,45.5262901612611
0.667275,46.0381893084504
0.6727,46.5543679593708
0.678125,47.0749052988972
0.68355,47.5998821862543
0.688975,48.1293812025397
0.6944,48.663486699829
0.699825,49.2022848519295
0.70525,49.7458637068431
0.710675,50.2943132410109
0.7161,50.8477254154087
0.721525,51.406194233569
0.72695,51.969815801608
0.732375,52.538688390339
0.7378,53.1129124995586
0.743225,53.6925909245952
0.74865,54.2778288252137
0.754075,54.8687337969757
0.7595,55.4654159451577
0.764925,56.0679879613361
0.77035,56.6765652027525
0.775775,57.2912657745782
0.7812,57.9122106152033
0.786625,58.5395235846808
0.79205,59.1733315564644
0.797475,59.813764512584
0.8029,60.4609556424099
0.808325,61.115041445168
0.81375,61.7761618363695
0.819175,62.4444602583364
0.8246,63.1200837950039
0.830025,63.8031832911972
0.83545,64.4939134765877
0.840875,65.192433094544
0.8463,65.8989050361071
0.851725,66.6134964793264
0.85715,67.3363790342134
0.862575,68.067728893576
0.868,68.8077269900164
0.873425,69.5565591593876
0.87885,70.3144163110231
0.884275,71.0814946050678
0.8897,71.8579956372609
0.895125,72.6441266315368
0.90055,73.4401006408373
0.905975,74.2461367565414
0.9114,75.0624603269528
0.916825,75.8893031853039
0.92225,76.7269038877638
0.927675,77.5755079619672
0.9331,78.4353681666118
0.938525,79.306744762703
0.94395,80.1899057970621
0.949375,81.0851273987495
0.9548,81.9926940890957
0.960225,82.9128991060734
0.96565,83.8460447437944
0.971075,84.7924427079582
0.9765,85.7524144881349
0.981925,86.726291747822
0.98735,87.7144167332716
0.992775,88.7171427021523
0.9982,89.7348343731772
1.003625,90.7678683979054
1.00905,91.8166338560047
1.014475,92.8815327753467
1.0199,93.9629806784003
1.025325,95.0614071564898
1.03075,96.1772564735898
1.036175,97.3109882014439
1.0416,98.4630778879217
1.047025,99.6340177606617
1.05245,100.824317468193
1.057875,102.034504860886
1.0633,103.265126814253
1.068725,104.516750097304
1.07415,105.789962288854
1.079575,107.08537274492
1.085,108.403613620534
1.090425,109.745340949601
1.09585,111.111235786677
1.101275,112.502005414851
1.1067,113.918384624238
1.112125,115.361137065947
1.11755,116.831056686786
1.122975,118.32896925035
1.1284,119.855733950659
1.133825,121.412245124951
1.13925,122.999434072834
1.144675,124.618270989565
1.1501,126.269767021925
1.155525,127.954976455822
1.16095,129.674999045611
1.166375,131.430982495935
1.1718,133.224125107874
1.177225,135.055678602245
1.18265,136.926951134028
1.188075,138.839310513209
1.1935,140.794187648686
1.198925,142.793080233526
1.20435,144.837556691476
1.209775,146.929260406648
1.2152,149.069914260343
1.220625,151.261325501358
1.22605,153.505390978737
1.231475,155.804102768818
1.2369,158.159554231692
1.242325,160.573946535795
1.24775,163.049595693388
1.253175,165.588940154239
1.2586,168.194549009837
1.264025,170.869130866213
1.26945,173.615543449802
1.274875,176.436804017984
1.2803,179.336100654062
1.285725,182.316804535615
1.29115,185.38248327549
1.296575,188.536915446479
1.302,191.784106414049
1.307425,195.128305616647
1.31285,198.574025450386
1.318275,202.126061934621
1.3237,205.789517357478
1.329125,209.569825126261
1.33455,213.472777077299
1.339975,217.504553533996
1.3454,221.67175644122
1.350825,225.981445949745
1.35625,230.441180877254
1.361675,235.059063533728
1.3671,239.843789470526
1.372525,244.804702795889
1.37795,249.9518577973
1.383375,255.29608772589
1.3888,260.8490817332
1.394225,266.623471110289
1.39965,272.63292616838
1.405075,278.892265325161
1.4105,285.417578229243
1.415925,292.226365076704
1.42135,299.337694659598
1.426775,306.772384152269
1.4322,314.553204205345
1.437625,322.705113603519
1.44305,331.255528581209
1.448475,340.234632918827
1.4539,349.675736210516
1.459325,359.615689265591
1.46475,370.095367563896
1.470175,381.160236137218
1.4756,392.861012338955
1.481025,405.254446880654
1.48645,418.404248511608
1.491875,432.382184136683
1.4973,447.269394474024
1.502725,463.157976183241
1.50815,480.152895629401
1.513575,498.374318319976
1.519,517.960463303404
1.524425,539.071125938661
1.52985,561.892059036562
1.535275,586.640466715153
1.5407,613.571955248334
1.546125,642.989412555518
1.55155,675.254470930692
1.556975,710.802474464073
1.5624,750.162268421448
1.567825,793.98272578468
1.57325,843.068847809731
1.578675,898.431728013932
1.5841,961.359015497451
1.589525,1033.51641007694
1.59495,1117.09739624062
1.600375,1215.05026525386
1.6058,1331.43334907062
1.611225,1471.99171990175
1.61665,1645.13511483636
1.622075,1863.68546765543
1.6275,2148.20733050117
1.632925,2533.89132570078
1.63835,3086.36925544164
1.643775,3943.71258136978
1.6492,5454.46104223229
1.654625,8825.58372941103
1.66005,23000.0247147028
1.665475,-38237.5188664145
1.6709,-10461.6831193666
1.676325,-6066.93861731008
1.68175,-4275.74981309098
1.687175,-3303.19631730055
1.6926,-2692.44355971962
1.698025,-2273.25696128419
1.70345,-1967.72106007675
1.708875,-1735.12966661312
1.7143,-1552.1428633185
1.719725,-1404.41845799101
1.72515,-1282.65725913014
1.730575,-1180.56565117281
1.736,-1093.73209188603
1.741425,-1018.97252000726
1.74685,-953.931198296121
1.752275,-896.827804361219
1.7577,-846.291852410105
1.763125,-801.251178663863
1.76855,-760.854958682566
1.773975,-724.419393413312
1.7794,-691.388640604496
1.784825,-661.306222282306
1.79025,-633.793771195635
1.795675,-608.535008708819
1.8011,-585.263511035002
1.806525,-563.753258410184
1.81195,-543.811255611122
1.817375,-525.271712842133
1.8228,-507.991415169412
1.828225,-491.846006607425
1.83365,-476.726984797224
1.839075,-462.539252640092
1.8445,-449.199110074494
1.849925,-436.632596370107
1.85535,-424.774113580059
1.860775,-413.565277046932
1.8662,-402.953950438392
1.871625,-392.893431653044
1.87705,-383.341762775861
1.882475,-374.261142576641
